image,country,state,city,title,start_rating,start_reviews,address,neighborhood,phone,website,start_price,hublyz_reviews,hublyz_ratings,hublyz_price,Mon,Tue,Wed,Thu,Fri,Sat,Sun
default,United States Of America,LA,New Orleans,Happy Hookah,3,2,"913 Decatur St New Orleans , LA  70130",French Quarter,(504) 304-5840,,$$$,,,,,,,,,,
default,United States Of America,LA,New Orleans,Jacks Hookah Cafe,0.5,5,"712 Terry Pkwy Gretna , LA  70056",Terrytown,(504) 392-2696,,$$$,,,,,,,,,,
default,United States Of America,LA,New Orleans,Happy Hookah 2,-0.5,2,"913 Decatur St. New Orleans , LA  70116",French Quarter,(504) 304-5840,,,,,,10:00 am-11:00 pm,10:00 am-11:00 pm,10:00 am-11:00 pm,10:00 am-11:00 pm,10:00 am-11:00 pm,10:00 am-11:30 pm,10:00 am-10:30 pm
default,United States Of America,NJ,Newark,Prime Hookah,2.5,2,"460 Broadway Bayonne , NJ  07002",,(201) 250-8011,http://www.primehookah.com,$$,,,,10:30 am-7:30 pm,10:30 am-7:30 pm,10:30 am-7:30 pm,10:30 am-7:30 pm,10:30 am-3:00 pm,Closed,12:00 pm-3:00 pm
default,United States Of America,GA,Atlanta,The Blue Caterpillar Hookah Lounge,4.5,4,"13 E Main St Buford , GA  30518",,(678) 541-5200,http://www.tbchookah.com/,$$$,,,,6:00 pm-12:00 am,6:00 pm-12:00 am,Closed,6:00 pm-2:00 am,6:00 pm-2:00 am,6:00 pm-2:00 am,6:00 pm-12:00 am
default,United States Of America,CA,San Diego,Aloha Snackbar,5,1,"Otay Ranch San Diegp , CA  91913",Chula Vista,(619) 555-6969,,$$,,,,,,,,,,
default,United States Of America,RI,Providence,Cafe 55 Hookah Lounge,4.5,10,"55 Douglas Pike Smithfield , RI  02917",,(401) 597-0302,,$$$,,,,Closed,8:00 pm-1:00 am,8:00 pm-1:00 am,8:00 pm-1:00 am,8:00 pm-1:00 am,8:00 pm-1:00 am,8:00 pm-1:00 am
default,United States Of America,RI,Providence,Hookah Boutique,0,7,"319 Pocasset Ave Providence , RI  02909",Silver Lake,(401) 996-1610,,,,,,12:00 pm-9:00 pm,12:00 pm-9:00 pm,12:00 pm-9:00 pm,12:00 pm-9:00 pm,12:00 pm-10:00 pm,12:00 pm-10:00 pm,12:00 pm-6:00 pm
default,United States Of America,RI,Providence,Providence Hookah,0,7,"112 Reservoir Ave Providence , RI  02907",Resevoir,(401) 219-3952,,,,,,,,,,,,
default,Italy,,Milano,Cavallo Cafä,4.5,1,Via Andrea Costa 11 20131  Milan Italy,CittÖ Studi,+39 329 1951003,,,,,,7:00 am-2:30 am,7:00 am-2:30 am,7:00 am-2:30 am,7:00 am-2:30 am,7:00 am-2:30 am,7:00 am-2:30 am,12:00 pm-2:30 am
default,United States Of America,CA,San Diego,Cafe Europe,0.5,92,"6220 Stanley Ave San Diego , CA  92115",Rolando,(619) 667-2222,,$$,,,,11:00 am-1:00 am,11:00 am-1:00 am,11:00 am-1:00 am,11:00 am-1:00 am,11:00 am-1:00 am,6:00 pm-1:00 am,6:00 pm-1:00 am
default,United States Of America,CA,San Diego,BAR 805,-0.5,247,"10920 Roselle St San Diego , CA  92121",,,,,,,,,,,,,,
default,United States Of America,CA,San Diego,Vegas Palomar,5,2,"Palomar St Chula Vista , CA  91911",,,,,,,,8:30 pm-2:00 am,8:30 pm-2:00 am,8:30 pm-2:00 am,8:30 pm-2:00 am,8:30 pm-2:00 am,8:30 pm-2:00 am,8:30 pm-2:00 am
default,United States Of America,MI,Detroit,La Hookah Town,2,16,"4455 2nd Ave Detroit , MI  48201","Midtown, Cass Corridor",(313) 974-7751,http://www.detroithookahbar.com/,$$,,,,12:00 pm-2:00 am,12:00 pm-2:00 am,12:00 pm-2:00 am,12:00 pm-2:00 am,4:00 pm-4:00 am,4:00 pm-4:00 am,5:00 pm-2:00 am
default,United States Of America,PA,Pittsburgh,House of Hookah,0,6,"1903 E Carson St Pittsburgh , PA  15203",South Side,(412) 586-4739,,$$,,,,5:00 pm-1:00 am,5:00 pm-1:00 am,5:00 pm-1:00 am,5:00 pm-3:00 am,5:00 pm-3:00 am,5:00 pm-3:00 am,5:00 pm-1:00 am
default,United States Of America,PA,Pittsburgh,Shiraz Kabob and Hookah,1.5,13,"4709 Centre Ave Pittsburgh , PA  15213",Bloomfield,(412) 682-2111,,$$,,,,4:00 pm-12:00 am,11:00 am-12:00 am,11:00 am-12:00 am,11:00 am-12:00 am,11:00 am-1:00 am,11:00 am-1:00 am,11:00 am-12:00 am
default,United States Of America,PA,Pittsburgh,Pgh PipeDreamz,0,6,"2603 Brownsville Rd Pittsburgh , PA  15227",Carrick,(412) 616-3880,http://pghpipedreamz.com,,,,,,,,,,,
default,United States Of America,PA,Pittsburgh,Heavenly Hookah Lounge,0.5,2,"16055 Perry Hwy Wexford , PA  15090",,(724) 935-3333,http://heavenlyhookahlounge.com/,,,,,,,,,,,
default,United States Of America,CA,Newport Beach,Morey?s Place,3.5,203,"303 El Camino Real Tustin , CA  92780",,(714) 486-2528,http://www.moreysplace.com/,$$$,,,,8:00 am-12:00 am,8:00 am-12:00 am,8:00 am-12:00 am,8:00 am-12:00 am,8:00 am-12:00 am,8:00 am-2:00 pm5:00 pm-12:00 am,8:00 am-2:00 pm5:00 pm-12:00 am
default,United States Of America,CA,Newport Beach,Date Cafe,4.5,22,"13931 Carroll Way Tustin , CA  92780",,(714) 505-8922,,$$$,,,,6:00 pm-12:00 am,6:00 pm-12:00 am,6:00 pm-12:00 am,6:00 pm-12:00 am,6:00 pm-2:00 am,6:00 pm-2:00 am,6:00 pm-12:00 am
default,United States Of America,DC,"Washington, DC",The Hookah Shop,-0.5,2,"389 Main St Laurel , MD  20707",,(410) 370-3258,https://hookahshop.wix.com/hookah,,,,,Closed,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,Closed
default,United States Of America,GA,Atlanta,Dire Caffee,4.5,1,"4851 Memorail Dr Stone Mountain , GA  30083",,(404) 600-2946,,$$,,,,,,,,,,
default,United States Of America,GA,Atlanta,Bliss Bar and Lounge,4.5,40,"10305 Medlock Bridge Rd Ste A6 Duluth , GA  30097",,(678) 888-3645,http://www.blissjohnscreek.com,$$$,,,,Closed,5:00 pm-12:00 am,5:00 pm-12:00 am,5:00 pm-12:00 am,5:00 pm-2:00 am,5:00 pm-2:00 am,5:00 pm-12:00 am
default,United States Of America,GA,Atlanta,Shewit Eritrean Restaurant,4.5,12,"926 Montreal Rd Ste 6 Clarkston , GA  30021",,(404) 294-8899,,$$,,,,11:00 am-2:00 am,11:00 am-2:00 am,11:00 am-2:00 am,11:00 am-2:00 am,11:00 am-3:00 am,11:00 am-3:00 am,11:00 am-2:00 am
default,United States Of America,GA,Atlanta,Jasmine Cafe,4.5,12,"2755 Canton Rd Marietta , GA  30066",,(678) 290-0211,,$$$,,,,Closed,6:00 pm-2:00 am,6:00 pm-2:00 am,6:00 pm-2:00 am,6:00 pm-2:00 am,6:00 pm-2:00 am,6:00 pm-2:00 am
default,United States Of America,OH,Columbus,Cleopatra Cafe,1.5,5,"1460 N. High Street Columbus , OH  43201",University District,,,$$$,,,,,,,,,,
default,United States Of America,OH,Columbus,Pharaoh?s Hookah CafÇ,3.5,4,"1460 N High St Columbus , OH  43201",University District,(614) 299-9011,,$$$$,,,,4:00 pm-4:00 am,4:00 pm-4:00 am,4:00 pm-4:00 am,4:00 pm-4:00 am,4:00 pm-4:00 am,4:00 pm-4:00 am,4:00 pm-3:00 am
default,United States Of America,OH,Columbus,Casablanca,-0.5,29,"19 E Duncan St Columbus , OH  43202",University District,(614) 463-0986,,,,,,3:00 pm-3:00 am,3:00 pm-3:00 am,3:00 pm-3:00 am,3:00 pm-3:00 am,3:00 pm-5:00 am,3:00 pm-5:00 am,3:00 pm-3:00 am
default,United States Of America,OH,Columbus,Paradise Sheesha Lounge,0.5,66,"1121 S Hamilton Rd Columbus , OH  43227",Whitehall,(614) 537-7962,,,,,,,,,,,,
default,United States Of America,OH,Columbus,Hookah Rush,5.5,1,"2422 N High St Columbus , OH  43202",University District,(614) 267-6463,,,,,,,,,,,,
default,United States Of America,OH,Columbus,Ubcrecent Hookah,0.5,4,"2897 Broadway Grove City , OH  43123",,,,,,,,,,,,,,
default,United States Of America,OH,Columbus,Twins Cafe Hookah Lounge,4,6,"3981 Main St. Hilliard , OH  43026",,(614) 850-0488,http://twinscafe4.wix.com/twins,$$$,,,,2:00 pm-3:00 am,2:00 pm-3:00 am,2:00 pm-3:00 am,2:00 pm-3:00 am,2:00 pm-3:00 am,2:00 pm-3:00 am,2:00 pm-3:00 am
default,United States Of America,GA,Atlanta,Hashemite?s,3,23,"3370 Venture Pkwy Duluth , GA  30096",,(770) 622-1866,http://hashemitesgrill-hookah.com,$$$,,,,11:00 am-11:00 pm,11:00 am-11:00 pm,11:00 am-11:00 pm,11:00 am-11:00 pm,11:00 am-2:00 am,11:00 am-2:00 am,11:00 am-1:00 am
default,United States Of America,GA,Atlanta,O2 Cigar & Hookah Lounge,3.5,4,"3523 Camp Creek Pkwy Ste 20 East Point , GA  30344",,(404) 629-0103,,$$,,,,11:00 am-11:00 pm,11:00 am-11:00 pm,11:00 am-11:00 pm,11:00 am-11:00 pm,11:00 am-1:00 am,11:00 am-1:00 am,11:00 am-11:00 pm
default,United States Of America,GA,Atlanta,Cobb?s Smoke and Hookah,4.5,1,"2555 Delk Rd Ste A-5 Marietta , GA  30067",,(770) 644-0004,http://cobbssmoke.com,$$$,,,,12:00 pm-10:00 pm,12:00 pm-10:00 pm,12:00 pm-10:00 pm,12:00 pm-10:00 pm,12:00 pm-10:00 pm,12:00 pm-10:00 pm,12:00 pm-8:00 pm
default,United States Of America,GA,Atlanta,Off The Hookah,3.5,23,"1860 Atkinson Rd NW Lawrenceville , GA  30043",,(770) 277-7777,,$$$,,,,,,,,,,
default,Canada,,Ottawa,Shahrazad Cafe,-0.5,1,"730 Industrial Ave Ottawa , ON  K1G 0Y9 Canada",,(613) 680-3070,,,,,,,,,,,,
default,Canada,,Ottawa,Melody Cafe & Restaurant,-0.5,1,"257 McArthur Avenue Ottawa , ON  K1L 6P3 Canada",,(613) 695-4774,,$$,,,,11:00 am-1:00 am,11:00 am-1:00 am,11:00 am-1:00 am,11:00 am-2:00 am,11:00 am-2:00 am,10:00 am-2:00 am,10:00 am-1:00 am
default,United States Of America,CA,San Diego,Sultan Hookah Lounge 2,3.5,11,"1280 Picador Blvd San Diego , CA  92154",Otay Mesa,(619) 428-4100,,$$,,,,6:00 pm-1:00 am,6:00 pm-1:00 am,6:00 pm-1:00 am,6:00 pm-1:00 am,6:00 pm-3:00 am,6:00 pm-3:00 am,6:00 pm-1:00 am
default,United States Of America,CA,San Diego,F1S,0,23,"9465 Black Mountain Rd Ste B San Diego , CA  92126",,(858) 578-7974,,$$$$$,,,,,,,,,,
default,United States Of America,CA,San Diego,Sunset Cafe and Hookah,4.5,30,"335 3rd Ave Chula Vista , CA  91910",Chula Vista,(619) 869-8511,,$$,,,,5:00 pm-2:00 am,5:00 pm-2:00 am,5:00 pm-2:00 am,5:00 pm-2:00 am,5:00 pm-2:00 am,5:00 pm-2:00 am,5:00 pm-2:00 am
default,United States Of America,CA,San Diego,Sky Lounge,4.5,28,"3515 Sweetwater Springs Blvd Spring Valley , CA  91978",,(619) 303-5341,http://www.skyloungesd.com,$$$,,,,12:00 pm-2:00 am,12:00 pm-2:00 am,12:00 pm-2:00 am,12:00 pm-2:00 am,12:00 pm-2:00 am,12:00 pm-2:00 am,12:00 pm-2:00 am
default,United States Of America,CA,San Diego,Satin Lounge,2,35,"6195 University Ave San Diego , CA  92115",Rolando,(619) 544-1177,http://www.satinloungesd.com/,$$,,,,,,,,,,
default,United States Of America,CA,San Diego,Vip Hookah Bar,5,2,"1555 Palm Ave San Diego , CA  92154",Nestor,(619) 863-0853,,$$,,,,4:00 pm-2:00 am,4:00 pm-2:00 am,4:00 pm-2:00 am,4:00 pm-2:00 am,4:00 pm-2:00 am,4:00 pm-2:00 am,4:00 pm-2:00 am
default,United States Of America,CA,San Diego,Oasis Hookah Lounge,4.5,23,"2615 Sweetwater Springs Blvd Unit C Spring Valley , CA  91978",,(619) 825-7218,,$$,,,,12:00 pm-2:00 am,12:00 pm-2:00 am,12:00 pm-2:00 am,12:00 pm-2:00 am,12:00 pm-3:00 am,12:00 pm-3:00 am,12:00 pm-2:00 am
default,United States Of America,CA,,Hookah Hookah,5,2,"10817 1/2 Venice Blvd Los Angeles , CA  90034",Palms,(310) 836-9841,,$$$,,,,8:00 am-8:00 pm,8:00 am-8:00 pm,8:00 am-8:00 pm,8:00 am-8:00 pm,8:00 am-8:00 pm,8:00 am-8:00 pm,Closed
default,United States Of America,CA,,The Hookah Zone,5,1,"10821 Venice Blvd Los Angeles , CA  90034",Palms,(310) 838-8833,,$$,,,,6:00 pm-4:00 am,6:00 pm-4:00 am,6:00 pm-4:00 am,6:00 pm-4:00 am,6:00 pm-4:00 am,6:00 pm-4:00 am,6:00 pm-4:00 am
default,United States Of America,CA,San Diego,Hart Lounge,4,32,"734 Park Blvd San Diego , CA  92101",East Village,(619) 519-7569,,$$$,,,,11:00 am-5:00 pm,11:00 am-5:00 pm,11:00 am-5:00 pm,11:00 am-5:00 pm,11:00 am-10:00 pm,Closed,Closed
default,United States Of America,CA,San Diego,Med Cafe,4,74,"1352 5th Ave San Diego , CA  92101",Downtown,(619) 325-1900,http://www.medcafe.net,$$$,,,,11:00 am-3:00 am,11:00 am-3:00 am,11:00 am-3:00 am,11:00 am-3:00 am,11:00 am-4:00 am,11:00 am-4:00 am,11:00 am-3:00 am
default,United States Of America,CA,San Diego,Cloud 9 Hookah Lounge,2.5,19,"2980 N Park Way San Diego , CA  92104",North Park,(619) 255-3269,http://www.cloud9hookahsd.com,$$$,,,,6:00 pm-4:00 am,6:00 pm-4:00 am,6:00 pm-4:00 am,6:00 pm-4:00 am,6:00 pm-4:00 am,6:00 pm-4:00 am,6:00 pm-4:00 am
default,United States Of America,CA,San Diego,Old Cairo Hookah,4.5,5,"3569 Adams Ave San Diego , CA  92116",Normal Heights,(619) 565-9707,,$$$,,,,,,,,,,
default,United States Of America,CA,San Diego,Exotic Inhale Lounge,3,14,"5963 El Cajon Blvd San Diego , CA  92115",Rolando,(619) 647-8800,,$$$,,,,12:00 pm-2:00 am,12:00 pm-2:00 am,12:00 pm-2:00 am,12:00 pm-2:00 am,12:00 pm-2:00 am,12:00 pm-2:00 am,12:00 pm-2:00 am
default,United States Of America,CA,San Diego,Babylon Hookah Lounge,4,8,"5963 El Cajon Blvd San Diego , CA  92115",Rolando,(619) 259-8390,,$$$,,,,5:00 pm-2:00 am,5:00 pm-2:00 am,5:00 pm-2:00 am,5:00 pm-2:00 am,5:00 pm-2:00 am,5:00 pm-2:00 am,5:00 pm-2:00 am
default,United States Of America,CA,San Diego,Phantom Lounge,3,13,"3445 Midway Dr Ste A San Diego , CA  92110",Midway,(619) 922-1944,http://www.phantomloungesd.com,$$,,,,2:00 pm-2:00 am,2:00 pm-2:00 am,2:00 pm-2:00 am,2:00 pm-2:00 am,2:00 pm-2:00 am,2:00 pm-2:00 am,2:00 pm-2:00 am
default,United States Of America,GA,Atlanta,The Place,0.5,22,"1480 Beaver Ruin Rd Ste B Norcross , GA  30093",,(470) 395-7608,,,,,,11:00 am-4:00 am,11:00 am-4:00 am,11:00 am-4:00 am,11:00 am-4:00 am,11:00 am-4:00 am,11:00 am-4:00 am,11:00 am-4:00 am
default,United States Of America,GA,Atlanta,Vice Bar & Bistro,5,7,"45 Satellite Blvd NW Suwanee , GA  30024",,(678) 765-8941,http://vicebarandbistro.com/,$$$,,,,Closed,6:00 pm-12:00 am,6:00 pm-1:00 am,6:00 pm-1:00 am,6:00 pm-2:00 am,6:00 pm-2:00 am,5:00 pm-12:00 am
default,United States Of America,GA,Atlanta,G Street Sports Bar & Lounge,4.5,1,"5531 N Henry Blvd Stockbridge , GA  30281",,(770) 282-6903,,$$$,,,,,,,,,,
default,United States Of America,GA,Atlanta,Remy Lounge,-0.5,0,"1817 Mt.Industrial Blvd Ste B Tucker , GA  30084",,(404) 451-6837,http://www.remyloungeatl.com/,,,,,,,,,,,
default,United States Of America,MI,Detroit,Blue Cafe,3,6,"5125 Schaefer Rd Dearborn , MI  48126",,(313) 436-5564,,$$$,,,,1:00 pm-2:00 am,1:00 pm-2:00 am,1:00 pm-2:00 am,1:00 pm-2:00 am,1:00 pm-3:00 am,1:00 pm-3:00 am,1:00 pm-2:00 am
default,United States Of America,OH,Cincinnati,Newport Hookah Lounge,3,2,"337 York St Newport , KY  41071",,(859) 360-0364,,$$,,,,,,,,,,
default,United States Of America,OH,Cincinnati,Hookah Rush Cafe,0,0,"125 Calhoun St Cincinnati , OH  45219",Corryville,(614) 267-6463,https://hookahrush.com,,,,,4:00 pm-2:00 am,4:00 pm-2:00 am,4:00 pm-2:00 am,4:00 pm-4:00 am,4:00 pm-4:00 am,4:00 pm-4:00 am,4:00 pm-2:00 am
default,United States Of America,OH,Cincinnati,Paradise Restaurant & Cafe,2.5,3,"4135 Alexandria Pike Cold Spring , KY  41076",,(859) 781-8000,http://paradisehookahcafe.com,$$,,,,11:00 am-1:00 am,11:00 am-1:00 am,11:00 am-1:00 am,11:00 am-1:00 am,11:00 am-3:00 am,11:00 am-3:00 am,3:00 pm-1:00 am
default,United States Of America,OH,Cincinnati,Shisha Land,5.5,2,"7312 Kingsgate Way West Chester , OH  45069",,(513) 847-4667,,$$,,,,,,,,,,
default,United States Of America,OH,Cincinnati,King Of The Hookah,0.5,6,"5570 Montgomery Rd Cincinnati , OH  45212",Pleasant Ridge,(513) 390-3871,http://www.kingofthehookah.com,,,,,,,,,,,
default,United States Of America,OH,Cincinnati,Nuevo Rodeo,-0.5,1,"Woodridge Plaza Shopping Center 7245 Dixie Hwy Fairfield , OH  45014",,,,,,,,,,,,,,
default,United States Of America,OH,Cincinnati,Hookah Palace,-0.5,0,"7967 Cincinnati Dayton Rd Butler County , OH  45069",,(513) 557-8835,,,,,,5:00 pm-2:00 am,5:00 pm-2:00 am,5:00 pm-2:00 am,5:00 pm-2:00 am,5:00 pm-2:00 am,5:00 pm-2:00 am,5:00 pm-2:00 am
default,United States Of America,CA,San Diego,Pasha Lounge,3.5,230,"425 Market St San Diego , CA  92101",Gaslamp,(619) 307-6051,http://www.pashasd.com/,$$$,,,,1:00 pm-1:00 am,1:00 pm-1:00 am,1:00 pm-1:00 am,1:00 pm-2:00 am,1:00 pm-3:00 am,1:00 pm-3:00 am,1:00 pm-1:00 am
default,United States Of America,CA,San Diego,Social Hookah Lounge,3.5,40,"5255 Linda Vista Rd San Diego , CA  92110",Linda Vista,(619) 291-1228,,$$$,,,,12:00 pm-2:00 am,12:00 pm-2:00 am,12:00 pm-2:00 am,12:00 pm-2:00 am,12:00 pm-2:00 am,12:00 pm-2:00 am,12:00 pm-2:00 am
default,United States Of America,CA,San Diego,Phantom Lounge and Nightclub,4,42,"1014 5th Ave Ste 140 San Diego , CA  92101",,(619) 255-7021,http://www.phantomloungesd.com/,$$$,,,,8:00 pm-2:00 am,8:00 pm-2:00 am,8:00 pm-2:00 am,8:00 pm-2:00 am,8:00 pm-2:00 am,8:00 pm-2:00 am,8:00 pm-2:00 am
default,United States Of America,CA,San Diego,Fumari Hookah Lounge,4,227,"330 G St San Diego , CA  92101",Gaslamp,(619) 238-4949,http://www.fumari.com,$$$,,,,7:00 pm-1:00 am,7:00 pm-1:00 am,7:00 pm-1:00 am,7:00 pm-1:00 am,7:00 pm-3:00 am,7:00 pm-3:00 am,7:00 pm-1:00 am
